Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Block,Age,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
IN1-33,33,4,10,2,Inflow,No,x,2,4,10,2,4,10,8
IN3-33,33,4,10,2,Inflow,No,z,2,4,10,2,4,10,8
DH1-34,34,34,15,555,Drain,High,x,1,80,500,960,72,453,441
DH2-34,34,24,23,327,Drain,High,y,1,80,500,960,72,453,441
DH3-34,34,22,23,310,Drain,High,z,1,80,500,960,72,453,441
IH2-34,34,36,91,546,Inflow,High,y,1,80,500,960,72,453,441
IH3-34,34,29,25,270,Inflow,High,z,1,80,500,960,72,453,441
IH1-34,34,28,15,184,Inflow,High,x,1,80,500,960,72,453,441
DL1-34,34,24,10,2,Drain,Low,x,1,20,100,50,18,78,29
DL2-34,34,12,10,2,Drain,Low,y,1,20,100,50,18,78,29
DL3-34,34,7,10,2,Drain,Low,z,1,20,100,50,18,78,29
IL2-34,34,15,10,2,Inflow,Low,y,1,20,100,50,18,78,29
IL1-34,34,14,10,2,Inflow,Low,x,1,20,100,50,18,78,29
IL3-34,34,13,10,2,Inflow,Low,z,1,20,100,50,18,78,29
DN1-34,34,4,10,2,Drain,No,x,1,4,10,2,4,10,8
DN2-34,34,4,10,2,Drain,No,y,1,4,10,2,4,10,8
DN3-34,34,4,10,2,Drain,No,z,1,4,10,2,4,10,8
IN1-34,34,4,10,2,Inflow,No,x,1,4,10,2,4,10,8
IN2-34,34,4,10,2,Inflow,No,y,1,4,10,2,4,10,8
IN3-34,34,4,10,2,Inflow,No,z,1,4,10,2,4,10,8
DH3-35,35,13,10,27,Drain,High,z,1,80,500,960,72,453,441
DH2-35,35,12,10,3,Drain,High,y,1,80,500,960,72,453,441
DH1-35,35,7,10,47,Drain,High,x,1,80,500,960,72,453,441
IH2-35,35,22,10,166,Inflow,High,y,1,80,500,960,72,453,441
IH1-35,35,11,10,16,Inflow,High,x,1,80,500,960,72,453,441
IH3-35,35,7,10,4,Inflow,High,z,1,80,500,960,72,453,441
DL3-35,35,10,10,14,Drain,Low,z,1,20,100,50,18,78,29
DL1-35,35,9,10,2,Drain,Low,x,1,20,100,50,18,78,29
IL3-35,35,11,10,5,Inflow,Low,z,1,20,100,50,18,78,29
IL2-35,35,7,10,2,Inflow,Low,y,1,20,100,50,18,78,29
IL1-35,35,4,10,2,Inflow,Low,x,1,20,100,50,18,78,29
DN1-35,35,4,10,2,Drain,No,x,1,4,10,2,4,10,8
DN2-35,35,4,10,2,Drain,No,y,1,4,10,2,4,10,8
DN3-35,35,4,10,2,Drain,No,z,1,4,10,2,4,10,8
IN1-35,35,4,10,2,Inflow,No,x,1,4,10,2,4,10,8
IN2-35,35,4,10,2,Inflow,No,y,1,4,10,2,4,10,8
IN3-35,35,4,10,2,Inflow,No,z,1,4,10,2,4,10,8
DH1-36,May-36,10,10,183,Drain,High,x,2,80,500,960,72,453,441
DH3-36,May-36,8,11,96,Drain,High,z,2,80,500,960,72,453,441
DH2-36,May-36,7,10,19,Drain,High,y,2,80,500,960,72,453,441
IH3-36,May-36,13,19,446,Inflow,High,z,2,80,500,960,72,453,441
IH1-36,May-36,4,10,8,Inflow,High,x,2,80,500,960,72,453,441
DL1-36,May-36,6,10,5,Drain,Low,x,2,20,100,50,18,78,29
DL3-36,May-36,5,10,2,Drain,Low,z,2,20,100,50,18,78,29
IL2-36,May-36,12,10,8,Inflow,Low,y,2,20,100,50,18,78,29
IL3-36,May-36,9,10,4,Inflow,Low,z,2,20,100,50,18,78,29
IL1-36,May-36,7,10,14,Inflow,Low,x,2,20,100,50,18,78,29
DN1-36,May-36,4,10,2,Drain,No,x,2,4,10,2,4,10,8
DN2-36,May-36,4,10,2,Drain,No,y,2,4,10,2,4,10,8
IN2-36,May-36,4,10,2,Inflow,No,y,2,4,10,2,4,10,8
DH2-37,37,10,10,36,Drain,High,y,0,80,500,960,72,453,441
DH3-37,37,6,14,61,Drain,High,z,0,80,500,960,72,453,441
DH1-37,37,5,10,80,Drain,High,x,0,80,500,960,72,453,441
IH2-37,37,11,18,77,Inflow,High,y,0,80,500,960,72,453,441
IH1-37,37,8,20,136,Inflow,High,x,0,80,500,960,72,453,441
IH3-37,37,8,10,15,Inflow,High,z,0,80,500,960,72,453,441
DL2-37,37,7,10,10,Drain,Low,y,0,20,100,50,18,78,29
DL1-37,37,6,10,6,Drain,Low,x,0,20,100,50,18,78,29
DL3-37,37,4,10,21,Drain,Low,,0,20,100,50,18,78,29
IL1-37,37,7,10,7,Inflow,Low,x,0,20,100,50,18,78,29
IL2-37,37,4,10,4,Inflow,Low,y,0,20,100,50,18,78,29
IL3-37,37,4,10,10,Inflow,Low,z,0,20,100,50,18,78,29
DN3-37,37,4,10,15,Drain,No,z,0,4,10,2,4,10,8
DN1-37,37,4,10,12,Drain,No,x,0,4,10,2,4,10,8
DN2-37,37,4,10,10,Drain,No,y,0,4,10,2,4,10,8
IN1-37,37,4,10,52,Inflow,No,x,0,4,10,2,4,10,8
IN3-37,37,4,10,4,Inflow,No,z,0,4,10,2,4,10,8
IN2-37,37,4,10,3,Inflow,No,y,0,4,10,2,4,10,8
DH1-38,38,44,105,647,Drain,High,x,3,80,500,960,72,453,441
DH2-38,38,25,10,254,Drain,High,y,3,80,500,960,72,453,441
DH3-38,38,17,20,152,Drain,High,z,3,80,500,960,72,453,441
DL3-38,38,5,10,1463,Drain,High,z,3,80,500,960,72,453,441
IH1-38,38,17,10,16,Inflow,High,x,3,80,500,960,72,453,441
IH3-38,38,15,10,56,Inflow,High,z,3,80,500,960,72,453,441
IH2-38,38,13,10,130,Inflow,High,y,3,80,500,960,72,453,441
DL1-38,38,13,10,1414,Drain,Low,x,3,20,100,50,18,78,29
DL2-38,38,6,10,304,Drain,Low,y,3,20,100,50,18,78,29
IL1-38,38,8,10,25,Inflow,Low,x,3,20,100,50,18,78,29
IL3-38,38,6,10,1867,Inflow,Low,z,3,20,100,50,18,78,29
IL2-38,38,4,10,301,Inflow,Low,y,3,20,100,50,18,78,29
DN2-38,38,4,10,35,Drain,No,y,3,4,10,2,4,10,8
DN3-38,38,4,10,6,Drain,No,z,3,4,10,2,4,10,8
DN1-38,38,4,10,4,Drain,No,x,3,4,10,2,4,10,8
IN2-38,38,4,10,7,Inflow,No,y,3,4,10,2,4,10,8
IN1-38,38,4,10,2,Inflow,No,x,3,4,10,2,4,10,8
IN3-38,38,4,10,2,Inflow,No,z,3,4,10,2,4,10,8
DH1-39,Apr-39,5,10,193,Drain,High,x,5,80,500,960,72,453,441
DH2-39,Apr-39,5,10,2,Drain,High,y,5,80,500,960,72,453,441
DH3-39,Apr-39,4,10,2,Drain,High,z,5,80,500,960,72,453,441
IH3-39,Apr-39,24,61,673,Inflow,High,z,5,80,500,960,72,453,441
IH2-39,Apr-39,9,10,33,Inflow,High,y,5,80,500,960,72,453,441
IH1-39,Apr-39,6,10,2,Inflow,High,x,5,80,500,960,72,453,441
DL1-39,Apr-39,7,10,582,Drain,Low,x,5,20,100,50,18,78,29
DL2-39,Apr-39,7,10,5,Drain,Low,y,5,20,100,50,18,78,29
DL3-39,Apr-39,4,10,4,Drain,Low,z,5,20,100,50,18,78,29
IL3-39,Apr-39,10,10,2,Inflow,Low,z,5,20,100,50,18,78,29
IL1-39,Apr-39,7,10,19,Inflow,Low,x,5,20,100,50,18,78,29
IL2-39,Apr-39,6,10,5,Inflow,Low,y,5,20,100,50,18,78,29
DN1-39,Apr-39,4,10,30,Drain,No,x,5,4,10,2,4,10,8
DN3-39,Apr-39,4,10,6,Drain,No,z,5,4,10,2,4,10,8
DN2-39,Apr-39,4,10,2,Drain,No,y,5,4,10,2,4,10,8
IN1-39,Apr-39,4,10,42,Inflow,No,x,5,4,10,2,4,10,8
IN2-39,Apr-39,4,10,2,Inflow,No,y,5,4,10,2,4,10,8
IN3-39,Apr-39,4,10,2,Inflow,No,z,5,4,10,2,4,10,8
